Field,Description,Type,Binary,Numeric,String,ID,Prob,EPA,WPA,(Check)
punt_inside_twenty,Binary indicator for if the punt ended inside the twenty yard line.,Binary,1,0,0,0,0,0,0,1
kickoff_inside_twenty,Binary indicator for if the kickoff ended inside the twenty yard line.,Binary,1,0,0,0,0,0,0,1
quarter_end,Binary indicator for whether or not the row of the data is marking the end of a quarter.,Binary,1,0,0,0,0,0,0,1
sp,Binary indicator for whether or not a score occurred on the play.,Binary,1,0,0,0,0,0,0,1
goal_to_go,Binary indicator for whether or not the posteam is in a goal down situation.,Binary,1,0,0,0,0,0,0,1
shotgun,Binary indicator for whether or not the play was in shotgun formation.,Binary,1,0,0,0,0,0,0,1
no_huddle,Binary indicator for whether or not the play was in no_huddle formation.,Binary,1,0,0,0,0,0,0,1
qb_dropback,"Binary indicator for whether or not the QB dropped back on the play (pass attempt, sack, or scrambled).",Binary,1,0,0,0,0,0,0,1
qb_kneel,Binary indicator for whether or not the QB took a knee.,Binary,1,0,0,0,0,0,0,1
qb_spike,Binary indicator for whether or not the QB spiked the ball.,Binary,1,0,0,0,0,0,0,1
qb_scramble,Binary indicator for whether or not the QB scrambled.,Binary,1,0,0,0,0,0,0,1
timeout,Binary indicator for whether or not a timeout was called.,Binary,1,0,0,0,0,0,0,1
punt_blocked,Binary indicator for if the punt was blocked.,Binary,1,0,0,0,0,0,0,1
first_down_rush,Binary indicator for if a running play converted the first down.,Binary,1,0,0,0,0,0,0,1
first_down_pass,Binary indicator for if a passing play converted the first down.,Binary,1,0,0,0,0,0,0,1
first_down_penalty,Binary indicator for if a penalty converted the first down.,Binary,1,0,0,0,0,0,0,1
third_down_converted,Binary indicator for if the first down was converted on third down.,Binary,1,0,0,0,0,0,0,1
third_down_failed,Binary indicator for if the posteam failed to convert first down on third down.,Binary,1,0,0,0,0,0,0,1
fourth_down_converted,Binary indicator for if the first down was converted on fourth down.,Binary,1,0,0,0,0,0,0,1
fourth_down_failed,Binary indicator for if the posteam failed to convert first down on fourth down.,Binary,1,0,0,0,0,0,0,1
incomplete_pass,Binary indicator for if the pass was incomplete.,Binary,1,0,0,0,0,0,0,1
interception,Binary indicator for if the pass was intercepted.,Binary,1,0,0,0,0,0,0,1
touchback,Binary indicator for if a touchback occurred on the play.,Binary,1,0,0,0,0,0,0,1
punt_in_endzone,Binary indicator for if the punt was in the endzone.,Binary,1,0,0,0,0,0,0,1
punt_out_of_bounds,Binary indicator for if the punt went out of bounds.,Binary,1,0,0,0,0,0,0,1
punt_downed,Binary indicator for if the punt was downed.,Binary,1,0,0,0,0,0,0,1
punt_fair_catch,Binary indicator for if the punt was caught with a fair catch.,Binary,1,0,0,0,0,0,0,1
kickoff_in_endzone,Binary indicator for if the kickoff was in the endzone.,Binary,1,0,0,0,0,0,0,1
kickoff_out_of_bounds,Binary indicator for if the kickoff went out of bounds.,Binary,1,0,0,0,0,0,0,1
kickoff_downed,Binary indicator for if the kickoff was downed.,Binary,1,0,0,0,0,0,0,1
kickoff_fair_catch,Binary indicator for if the kickoff was caught with a fair catch.,Binary,1,0,0,0,0,0,0,1
fumble_forced,Binary indicator for if the fumble was forced.,Binary,1,0,0,0,0,0,0,1
fumble_not_forced,Binary indicator for if the fumble was not forced.,Binary,1,0,0,0,0,0,0,1
fumble_out_of_bounds,Binary indicator for if the fumble went out of bounds.,Binary,1,0,0,0,0,0,0,1
solo_tackle,Binary indicator if the play had a solo tackle (could be multiple due to fumbles).,Binary,1,0,0,0,0,0,0,1
safety,Binary indicator for whether or not a safety occurred.,Binary,1,0,0,0,0,0,0,1
penalty,Binary indicator for whether or not a penalty occurred.,Binary,1,0,0,0,0,0,0,1
tackled_for_loss,Binary indicator for whether or not a tackle for loss occurred.,Binary,1,0,0,0,0,0,0,1
fumble_lost,Binary indicator for if the fumble was lost.,Binary,1,0,0,0,0,0,0,1
own_kickoff_recovery,Binary indicator for if the kicking team recovered the kickoff.,Binary,1,0,0,0,0,0,0,1
own_kickoff_recovery_td,Binary indicator for if the kicking team recovered the kickoff and scored a TD.,Binary,1,0,0,0,0,0,0,1
qb_hit,Binary indicator if the QB was hit on the play.,Binary,1,0,0,0,0,0,0,1
rush_attempt,Binary indicator for if the play was a run.,Binary,1,0,0,0,0,0,0,1
pass_attempt,Binary indicator for if the play was a pass attempt (includes sacks).,Binary,1,0,0,0,0,0,0,1
sack,Binary indicator for if the play ended in a sack.,Binary,1,0,0,0,0,0,0,1
touchdown,Binary indicator for if the play resulted in a TD.,Binary,1,0,0,0,0,0,0,1
pass_touchdown,Binary indicator for if the play resulted in a passing TD.,Binary,1,0,0,0,0,0,0,1
rush_touchdown,Binary indicator for if the play resulted in a rushing TD.,Binary,1,0,0,0,0,0,0,1
return_touchdown,Binary indicator for if the play resulted in a return TD.,Binary,1,0,0,0,0,0,0,1
extra_point_attempt,Binary indicator for extra point attempt.,Binary,1,0,0,0,0,0,0,1
two_point_attempt,Binary indicator for two point conversion attempt.,Binary,1,0,0,0,0,0,0,1
field_goal_attempt,Binary indicator for field goal attempt.,Binary,1,0,0,0,0,0,0,1
kickoff_attempt,Binary indicator for kickoff.,Binary,1,0,0,0,0,0,0,1
punt_attempt,Binary indicator for punts.,Binary,1,0,0,0,0,0,0,1
fumble,Binary indicator for if a fumble occurred.,Binary,1,0,0,0,0,0,0,1
complete_pass,Binary indicator for if the pass was completed.,Binary,1,0,0,0,0,0,0,1
assist_tackle,Binary indicator for if an assist tackle occurred.,Binary,1,0,0,0,0,0,0,1
lateral_reception,Binary indicator for if a lateral occurred on the reception.,Binary,1,0,0,0,0,0,0,1
lateral_rush,Binary indicator for if a lateral occurred on a run.,Binary,1,0,0,0,0,0,0,1
lateral_return,Binary indicator for if a lateral occurred on a return.,Binary,1,0,0,0,0,0,0,1
lateral_recovery,Binary indicator for if a lateral occurred on a fumble recovery.,Binary,1,0,0,0,0,0,0,1
replay_or_challenge,Binary indicator for whether or not a replay or challenge.,Binary,1,0,0,0,0,0,0,1
defensive_two_point_attempt,"Binary indicator whether or not the defense was able to have an attempt on a two point conversion, this results following a turnover.",Binary,1,0,0,0,0,0,0,1
defensive_two_point_conv,Binary indicator whether or not the defense successfully scored on the two point conversion.,Binary,1,0,0,0,0,0,0,1
defensive_extra_point_attempt,"Binary indicator whether or not the defense was able to have an attempt on an extra point attempt, this results following a blocked attempt that the defense recovers the ball.",Binary,1,0,0,0,0,0,0,1
defensive_extra_point_conv,Binary indicator whether or not the defense successfully scored on an extra point attempt.,Binary,1,0,0,0,0,0,0,1
air_epa,EPA from the air yards alone. For completions this represents the actual value provided through the air. For incompletions this represents the hypothetical value that could've been added through the air if the pass was completed.,EPA,0,0,0,0,0,1,0,1
yac_epa,EPA from the yards after catch alone. For completions this represents the actual value provided after the catch. For incompletions this represents the difference between the hypothetical air_epa and the play's raw observed EPA (how much the incomplete pass cost the posteam).,EPA,0,0,0,0,0,1,0,1
epa,Expected points added (EPA) by the posteam for the given play.,EPA,0,0,0,0,0,1,0,1
total_home_epa,Cumulative total EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_epa,Cumulative total EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_home_rush_epa,Cumulative total rushing EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_rush_epa,Cumulative total rushing EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_home_pass_epa,Cumulative total passing EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_pass_epa,Cumulative total passing EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
comp_air_epa,EPA from the air yards alone only for completions.,EPA,0,0,0,0,0,1,0,1
comp_yac_epa,EPA from the yards after catch alone only for completions.,EPA,0,0,0,0,0,1,0,1
total_home_comp_air_epa,Cumulative total completions air EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_comp_air_epa,Cumulative total completions air EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_home_comp_yac_epa,Cumulative total completions yac EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_comp_yac_epa,Cumulative total completions yac EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_home_raw_air_epa,Cumulative total raw air EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_raw_air_epa,Cumulative total raw air EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_home_raw_yac_epa,Cumulative total raw yac EPA for the home team in the game so far.,EPA,0,0,0,0,0,1,0,1
total_away_raw_yac_epa,Cumulative total raw yac EPA for the away team in the game so far.,EPA,0,0,0,0,0,1,0,1
lateral_interception_player_id,Unique indentifier for the player that received the lateral on an interception.,ID,0,0,0,1,0,0,0,1
play_id,Numeric play id that when used with game_id and drive provides the unique identifier for a single play.,ID,0,0,0,1,0,0,0,1
game_id,Ten digit identifier for NFL game.,ID,0,0,0,1,0,0,0,1
passer_player_id,Unique identifier for the player that attempted the pass.,ID,0,0,0,1,0,0,0,1
receiver_player_id,Unique identifier for the receiver that was targeted on the pass.,ID,0,0,0,1,0,0,0,1
rusher_player_id,Unique identifier for the player that attempted the run.,ID,0,0,0,1,0,0,0,1
lateral_receiver_player_id,Unique identifier for the player that received the lateral on a reception.,ID,0,0,0,1,0,0,0,1
lateral_rusher_player_id,Unique identifier for the player that received the lateral on a run.,ID,0,0,0,1,0,0,0,1
lateral_sack_player_id,Unique identifier for the player that received the lateral on a sack.,ID,0,0,0,1,0,0,0,1
interception_player_id,Unique identifier for the player that intercepted the pass.,ID,0,0,0,1,0,0,0,1
punt_returner_player_id,Unique identifier for the punt returner.,ID,0,0,0,1,0,0,0,1
lateral_punt_returner_player_id,Unique identifier for the player that received the lateral on a punt return.,ID,0,0,0,1,0,0,0,1
kickoff_returner_player_id,Unique identifier for the kickoff returner.,ID,0,0,0,1,0,0,0,1
lateral_kickoff_returner_player_id,Unique identifier for the player that received the lateral on a kickoff return.,ID,0,0,0,1,0,0,0,1
punter_player_id,Unique identifier for the punter.,ID,0,0,0,1,0,0,0,1
kicker_player_id,Unique identifier for the kicker on FG or kickoff.,ID,0,0,0,1,0,0,0,1
own_kickoff_recovery_player_id,Unique identifier for the player that recovered their own kickoff.,ID,0,0,0,1,0,0,0,1
blocked_player_id,Unique identifier for the player that blocked the punt or FG.,ID,0,0,0,1,0,0,0,1
tackle_for_loss_1_player_id,Unique identifier for one of the potential players with the tackle for loss.,ID,0,0,0,1,0,0,0,1
tackle_for_loss_2_player_id,Unique identifier for one of the potential players with the tackle for loss.,ID,0,0,0,1,0,0,0,1
qb_hit_1_player_id,Unique identifier for one of the potential players that hit the QB.,ID,0,0,0,1,0,0,0,1
qb_hit_2_player_id,Unique identifier for one of the potential players that hit the QB.,ID,0,0,0,1,0,0,0,1
forced_fumble_player_1_player_id,Unique identifier of one of the players with a forced fumble.,ID,0,0,0,1,0,0,0,1
forced_fumble_player_2_player_id,Unique identifier of one of the players with a forced fumble.,ID,0,0,0,1,0,0,0,1
solo_tackle_1_player_id,Unique identifier of one of the players with a solo tackle.,ID,0,0,0,1,0,0,0,1
solo_tackle_2_player_id,Unique identifier of one of the players with a solo tackle.,ID,0,0,0,1,0,0,0,1
assist_tackle_1_player_id,Unique identifier of one of the players with a tackle assist.,ID,0,0,0,1,0,0,0,1
assist_tackle_2_player_id,Unique identifier of one of the players with a tackle assist.,ID,0,0,0,1,0,0,0,1
assist_tackle_3_player_id,Unique identifier of one of the players with a tackle assist.,ID,0,0,0,1,0,0,0,1
assist_tackle_4_player_id,Unique identifier of one of the players with a tackle assist.,ID,0,0,0,1,0,0,0,1
pass_defense_1_player_id,Unique identifier of one of the players with a pass defense.,ID,0,0,0,1,0,0,0,1
pass_defense_2_player_id,Unique identifier of one of the players with a pass defense.,ID,0,0,0,1,0,0,0,1
fumbled_1_player_id,Unique identifier of one of the players with a fumble.,ID,0,0,0,1,0,0,0,1
fumbled_2_player_id,Unique identifier of one of the players with a fumble.,ID,0,0,0,1,0,0,0,1
fumble_recovery_1_player_id,Unique identifier of one of the players with a fumble recovery.,ID,0,0,0,1,0,0,0,1
fumble_recovery_2_player_id,Unique identifier of one of the players with a fumble recovery.,ID,0,0,0,1,0,0,0,1
penalty_player_id,Unique identifier for the player with the penalty.,ID,0,0,0,1,0,0,0,1
qtr,Quarter of the game (5 is overtime).,Numeric,0,1,0,0,0,0,0,1
down,The down for the given play.,Numeric,0,1,0,0,0,0,0,1
posteam_timeouts_remaining,Number of timeouts remaining for the possession team.,Numeric,0,1,0,0,0,0,0,1
defteam_timeouts_remaining,Number of timeouts remaining for the team on defense.,Numeric,0,1,0,0,0,0,0,1
total_home_score,Score for the home team at the start of the play.,Numeric,0,1,0,0,0,0,0,1
total_away_score,Score for the away team at the start of the play.,Numeric,0,1,0,0,0,0,0,1
posteam_score,Score the posteam at the start of the play.,Numeric,0,1,0,0,0,0,0,1
defteam_score,Score the defteam at the start of the play.,Numeric,0,1,0,0,0,0,0,1
score_differential,Score differential between the posteam and defteam at the start of the play.,Numeric,0,1,0,0,0,0,0,1
posteam_score_post,Score for the posteam at the end of the play.,Numeric,0,1,0,0,0,0,0,1
defteam_score_post,Score for the defteam at the end of the play.,Numeric,0,1,0,0,0,0,0,1
score_differential_post,Score differential between the posteam and defteam at the end of the play.,Numeric,0,1,0,0,0,0,0,1
fumble_recovery_1_yards,Yards gained by one of the players with a fumble recovery.,Numeric,0,1,0,0,0,0,0,1
fumble_recovery_2_yards,Yards gained by one of the players with a fumble recovery.,Numeric,0,1,0,0,0,0,0,1
return_yards,Yards gained by the return team.,Numeric,0,1,0,0,0,0,0,1
penalty_yards,Yards gained (or lost) by the posteam from the penalty.,Numeric,0,1,0,0,0,0,0,1
air_yards,Numeric value for distance in yards perpendicular to the line of scrimmage at where the targeted receiver either caught or didn't catch the ball.,Numeric,0,1,0,0,0,0,0,1
yardline_100,Numeric distance in the number of yards from the opponent's endzone for the posteam.,Numeric,0,1,0,0,0,0,0,1
quarter_seconds_remaining,Numeric seconds remaining in the quarter.,Numeric,0,1,0,0,0,0,0,1
half_seconds_remaining,Numeric seconds remaining in the half.,Numeric,0,1,0,0,0,0,0,1
game_seconds_remaining,Numeric seconds remaining in the game.,Numeric,0,1,0,0,0,0,0,1
drive,Numeric drive number in the game.,Numeric,0,1,0,0,0,0,0,1
ydstogo,Numeric yards in distance from either the first down marker or the endzone in goal down situations.,Numeric,0,1,0,0,0,0,0,1
ydsnet,Numeric value for total yards gained on the given drive.,Numeric,0,1,0,0,0,0,0,1
yards_gained,Numeric yards gained (or lost) for the given play.,Numeric,0,1,0,0,0,0,0,1
yards_after_catch,Numeric value for distance in yards perpendicular to the yard line where the receiver made the reception to where the play ended.,Numeric,0,1,0,0,0,0,0,1
kick_distance,"Numeric distance in yards for kickoffs, field goals, and punts.",Numeric,0,1,0,0,0,0,0,1
home_timeouts_remaining,Numeric timeouts remaining in the half for the home team.,Numeric,0,1,0,0,0,0,0,1
away_timeouts_remaining,Numeric timeouts remaining in the half for the away team.,Numeric,0,1,0,0,0,0,0,1
no_score_prob,Predicted probability of no score occurring for the rest of the half based on the expected points model.,Prob,0,0,0,0,1,0,0,1
opp_fg_prob,Predicted probability of the defteam scoring a FG next.,Prob,0,0,0,0,1,0,0,1
opp_safety_prob,Predicted probability of the defteam scoring a safety next.,Prob,0,0,0,0,1,0,0,1
opp_td_prob,Predicted probability of the defteam scoring a TD next.,Prob,0,0,0,0,1,0,0,1
fg_prob,Predicted probability of the posteam scoring a FG next.,Prob,0,0,0,0,1,0,0,1
safety_prob,Predicted probability of the posteam scoring a safety next.,Prob,0,0,0,0,1,0,0,1
td_prob,Predicted probability of the posteam scoring a TD next.,Prob,0,0,0,0,1,0,0,1
extra_point_prob,Predicted probability of the posteam scoring an extra point.,Prob,0,0,0,0,1,0,0,1
two_point_conversion_prob,Predicted probability of the posteam scoring the two point conversion.,Prob,0,0,0,0,1,0,0,1
ep,"Using the scoring event probabilities, the estimated expected points with respect to the possession team for the given play.",Prob,0,0,0,0,1,0,0,1
wp,Estimated win probabiity for the posteam given the current situation at the start of the given play.,Prob,0,0,0,0,1,0,0,1
def_wp,Estimated win probability for the defteam.,Prob,0,0,0,0,1,0,0,1
home_wp,Estimated win probability for the home team.,Prob,0,0,0,0,1,0,0,1
away_wp,Estimated win probability for the away team.,Prob,0,0,0,0,1,0,0,1
home_wp_post,Estimated win probability for the home team at the start of the play.,Prob,0,0,0,0,1,0,0,1
away_wp_post,Estimated win probability for the away team at the start of the play.,Prob,0,0,0,0,1,0,0,1
game_date,Date of the game.,String,0,0,1,0,0,0,0,1
forced_fumble_player_1_team,Team of one of the players with a forced fumble.,String,0,0,1,0,0,0,0,1
forced_fumble_player_2_team,Team of one of the players with a forced fumble.,String,0,0,1,0,0,0,0,1
solo_tackle_1_team,Team of one of the players with a solo tackle.,String,0,0,1,0,0,0,0,1
solo_tackle_2_team,Team of one of the players with a solo tackle.,String,0,0,1,0,0,0,0,1
assist_tackle_1_team,Team of one of the players with a tackle assist.,String,0,0,1,0,0,0,0,1
assist_tackle_2_team,Team of one of the players with a tackle assist.,String,0,0,1,0,0,0,0,1
assist_tackle_3_team,Team of one of the players with a tackle assist.,String,0,0,1,0,0,0,0,1
assist_tackle_4_team,Team of one of the players with a tackle assist.,String,0,0,1,0,0,0,0,1
fumbled_1_team,Team of one of the players with a fumble.,String,0,0,1,0,0,0,0,1
fumbled_2_team,Team of one of the players with a fumble.,String,0,0,1,0,0,0,0,1
fumble_recovery_1_team,Team of one of the players with a fumble recovery.,String,0,0,1,0,0,0,0,1
fumble_recovery_2_team,Team of one of the players with a fumble recovery.,String,0,0,1,0,0,0,0,1
side_of_field,String abbreviation for which team's side of the field the team with possession is currently on.,String,0,0,1,0,0,0,0,1
time,Time at start of play provided in string format as minutes:seconds remaining in the quarter.,String,0,0,1,0,0,0,0,1
pass_location,"String indicator for pass location: left, middle, or right.",String,0,0,1,0,0,0,0,1
run_location,"String indicator for location of run: left, middle, or right.",String,0,0,1,0,0,0,0,1
home_team,String abbreviation for the home team.,String,0,0,1,0,0,0,0,1
away_team,String abbreviation for the away team.,String,0,0,1,0,0,0,0,1
posteam,String abbreviation for the team with possession.,String,0,0,1,0,0,0,0,1
posteam_type,String indicating whether the posteam team is home or away.,String,0,0,1,0,0,0,0,1
defteam,String abbreviation for the team on defense.,String,0,0,1,0,0,0,0,1
game_half,"String indicating which half the play is in, either Half1, Half2, or Overtime.",String,0,0,1,0,0,0,0,1
yrdln,String indicating the current field position for a given play.,String,0,0,1,0,0,0,0,1
desc,Detailed string description for the given play.,String,0,0,1,0,0,0,0,1
play_type,"String indicating the type of play: pass (includes sacks), run (includes scrambles), punt, field_goal, kickoff, extra_point, qb_kneel, qb_spike, no_play (timeouts and penalties), and missing for rows indicating end of play.",String,0,0,1,0,0,0,0,1
pass_length,String indicator for pass length: short or deep.,String,0,0,1,0,0,0,0,1
run_gap,"String indicator for line gap of run: end, guard, or tackle",String,0,0,1,0,0,0,0,1
field_goal_result,"String indicator for result of field goal attempt: made, missed, or blocked.",String,0,0,1,0,0,0,0,1
extra_point_result,"String indicator for the result of the extra point attempt: good, failed, blocked, safety (touchback in defensive endzone is 1 point apparently), or aborted.",String,0,0,1,0,0,0,0,1
two_point_conv_result,"String indicator for result of two point conversion attempt: success, failure, safety (touchback in defensive endzone is 1 point apparently), or return.",String,0,0,1,0,0,0,0,1
timeout_team,String abbreviation for which team called the timeout.,String,0,0,1,0,0,0,0,1
td_team,String abbreviation for which team scored the touchdown.,String,0,0,1,0,0,0,0,1
passer_player_name,String name for the player that attempted the pass.,String,0,0,1,0,0,0,0,1
receiver_player_name,String name for the targeted receiver.,String,0,0,1,0,0,0,0,1
rusher_player_name,String name for the player that attempted the run.,String,0,0,1,0,0,0,0,1
lateral_receiver_player_name,String name for the player that received the lateral on a reception.,String,0,0,1,0,0,0,0,1
lateral_rusher_player_name,String name for the player that received the lateral on a run.,String,0,0,1,0,0,0,0,1
lateral_sack_player_name,String name for the player that received the lateral on a sack.,String,0,0,1,0,0,0,0,1
interception_player_name,String name for the player that intercepted the pass.,String,0,0,1,0,0,0,0,1
lateral_interception_player_name,String name for the player that received the lateral on an interception.,String,0,0,1,0,0,0,0,1
punt_returner_player_name,String name for the punt returner.,String,0,0,1,0,0,0,0,1
lateral_punt_returner_player_name,String name for the player that received the lateral on a punt return.,String,0,0,1,0,0,0,0,1
kickoff_returner_player_name,String name for the kickoff returner.,String,0,0,1,0,0,0,0,1
lateral_kickoff_returner_player_name,String name for the player that received the lateral on a kickoff return.,String,0,0,1,0,0,0,0,1
punter_player_name,String name for the punter.,String,0,0,1,0,0,0,0,1
kicker_player_name,String name for the kicker on FG or kickoff.,String,0,0,1,0,0,0,0,1
own_kickoff_recovery_player_name,String name for the player that recovered their own kickoff.,String,0,0,1,0,0,0,0,1
blocked_player_name,String name for the player that blocked the punt or FG.,String,0,0,1,0,0,0,0,1
tackle_for_loss_1_player_name,String name for one of the potential players with the tackle for loss.,String,0,0,1,0,0,0,0,1
tackle_for_loss_2_player_name,String name for one of the potential players with the tackle for loss.,String,0,0,1,0,0,0,0,1
qb_hit_1_player_name,String name for one of the potential players that hit the QB.,String,0,0,1,0,0,0,0,1
qb_hit_2_player_name,String name for one of the potential players that hit the QB.,String,0,0,1,0,0,0,0,1
forced_fumble_player_1_player_name,String name of one of the players with a forced fumble.,String,0,0,1,0,0,0,0,1
forced_fumble_player_2_player_name,String name of one of the players with a forced fumble.,String,0,0,1,0,0,0,0,1
solo_tackle_1_player_name,String name of one of the players with a solo tackle.,String,0,0,1,0,0,0,0,1
solo_tackle_2_player_name,String name of one of the players with a solo tackle.,String,0,0,1,0,0,0,0,1
assist_tackle_1_player_name,String name of one of the players with a tackle assist.,String,0,0,1,0,0,0,0,1
assist_tackle_2_player_name,String name of one of the players with a tackle assist.,String,0,0,1,0,0,0,0,1
assist_tackle_3_player_name,String name of one of the players with a tackle assist.,String,0,0,1,0,0,0,0,1
assist_tackle_4_player_name,String name of one of the players with a tackle assist.,String,0,0,1,0,0,0,0,1
pass_defense_1_player_name,String name of one of the players with a pass defense.,String,0,0,1,0,0,0,0,1
pass_defense_2_player_name,String name of one of the players with a pass defense.,String,0,0,1,0,0,0,0,1
fumbled_1_player_name,String name of one of the players with a fumble.,String,0,0,1,0,0,0,0,1
fumbled_2_player_name,String name of one of the players with a fumble.,String,0,0,1,0,0,0,0,1
fumble_recovery_1_player_name,String name of one of the players with a fumble recovery.,String,0,0,1,0,0,0,0,1
fumble_recovery_2_player_name,String name of one of the players with a fumble recovery.,String,0,0,1,0,0,0,0,1
return_team,String abbreviation of the return team.,String,0,0,1,0,0,0,0,1
penalty_team,String abbreviation of the team with the penalty.,String,0,0,1,0,0,0,0,1
penalty_player_name,String name for the player with the penalty.,String,0,0,1,0,0,0,0,1
replay_or_challenge_result,String indicating the result of the replay or challenge.,String,0,0,1,0,0,0,0,1
penalty_type,String indicating the penalty type.,String,0,0,1,0,0,0,0,1
wpa,Win probability added (WPA) for the posteam.,WPA,0,0,0,0,0,0,1,1
air_wpa,WPA through the air (same logic as air_epa).,WPA,0,0,0,0,0,0,1,1
yac_wpa,WPA from yards after the catch (same logic as yac_epa).,WPA,0,0,0,0,0,0,1,1
total_home_rush_wpa,Cumulative total rushing WPA for the home team in the game so far.,WPA,0,0,0,0,0,0,1,1
total_away_rush_wpa,Cumulative total rushing WPA for the away team in the game so far.,WPA,0,0,0,0,0,0,1,1
total_home_pass_wpa,Cumulative total passing WPA for the home team in the game so far.,WPA,0,0,0,0,0,0,1,1
total_away_pass_wpa,Cumulative total passing WPA for the away team in the game so far.,WPA,0,0,0,0,0,0,1,1
comp_air_wpa,The air_wpa for completions only.,WPA,0,0,0,0,0,0,1,1
comp_yac_wpa,The yac_wpa for completions only.,WPA,0,0,0,0,0,0,1,1
total_home_comp_air_wpa,Cumulative total completions air WPA for the home team in the game so far.,WPA,0,0,0,0,0,0,1,1
total_away_comp_air_wpa,Cumulative total completions air WPA for the away team in the game so far.,WPA,0,0,0,0,0,0,1,1
total_home_comp_yac_wpa,Cumulative total completions yac WPA for the home team in the game so far.,WPA,0,0,0,0,0,0,1,1
total_away_comp_yac_wpa,Cumulative total completions yac WPA for the away team in the game so far.,WPA,0,0,0,0,0,0,1,1
total_home_raw_air_wpa,Cumulative total raw air WPA for the home team in the game so far.,WPA,0,0,0,0,0,0,1,1
total_away_raw_air_wpa,Cumulative total raw air WPA for the away team in the game so far.,WPA,0,0,0,0,0,0,1,1
total_home_raw_yac_wpa,Cumulative total raw yac WPA for the home team in the game so far.,WPA,0,0,0,0,0,0,1,1
total_away_raw_yac_wpa,Cumulative total raw yac WPA for the away team in the game so far.,WPA,0,0,0,0,0,0,1,1
