,min,max,mean,std
play_id,1.0,5614.0,2132.23720027262,1246.8579372731845
week,1.0,21.0,9.40888907247155,5.2909928750835435
yardline_100,1.0,99.0,49.49965084585408,24.53612083336353
quarter_seconds_remaining,0.0,900.0,412.6420645107863,281.4422772476047
half_seconds_remaining,0.0,1800.0,807.9362552275268,558.4145261927483
game_seconds_remaining,0.0,3600.0,1705.7748540433108,1059.4368467925435
quarter_end,0.0,1.0,0.016832235279539025,0.1286438996905428
drive,1.0,32.0,12.064443045940843,6.948122530554038
sp,0.0,1.0,0.07240959127615193,0.25916757047880595
qtr,1.0,5.0,2.572626448295091,1.134909749315806
down,1.0,4.0,1.9897616858427971,1.0015864877333291
goal_to_go,0.0,1.0,0.04940209421921147,0.21670832292452988
ydstogo,0.0,44.0,7.143683264834053,4.977132630325075
ydsnet,-26.0,99.0,40.672456471575416,28.8935157822741
yards_gained,-23.0,98.0,4.056089327447416,7.90264031649404
shotgun,0.0,1.0,0.4816497655878891,0.4996683152966423
no_huddle,0.0,1.0,0.08560688985728743,0.27978557322762027
qb_dropback,0.0,1.0,0.4522851207478577,0.4977234684013473
qb_kneel,0.0,1.0,0.008632974658708359,0.09251282705068381
qb_spike,0.0,1.0,0.001528325657283298,0.039064323812952106
qb_scramble,0.0,1.0,0.014994113880914517,0.1215302244999612
air_yards,-14.0,61.0,8.357228821097797,9.92725555577261
yards_after_catch,-14.0,87.0,5.020764119601329,6.954008662559323
kick_distance,1.0,79.0,42.0,11.67234366970496
home_timeouts_remaining,0.0,3.0,2.5415229558644334,0.7732418853664424
away_timeouts_remaining,0.0,3.0,2.5188459075982568,0.7901552689372282
timeout,0.0,1.0,0.04230502899679737,0.20128633899120252
posteam_timeouts_remaining,0.0,3.0,2.5710677641222235,0.7462438255255848
defteam_timeouts_remaining,0.0,3.0,2.592423046566693,0.7153735347614568
total_home_score,0.0,49.0,12.706768004295835,9.994247066866304
total_away_score,0.0,48.0,10.315041615894588,9.316135172630984
posteam_score,0.0,49.0,10.555720955409702,9.366101083098224
defteam_score,0.0,49.0,11.870401696100323,9.870436065498717
score_differential,-42.0,41.0,-1.3146807406906196,10.292237852494276
posteam_score_post,0.0,49.0,10.818468823993685,9.438558438486854
defteam_score_post,0.0,49.0,11.878813845980382,9.875056943144797
score_differential_post,-42.0,42.0,-1.0603450219866952,10.371722410498764
no_score_prob,0.0,1.0,0.12023973642722456,0.19514914865784702
opp_fg_prob,0.0,0.37792623043060297,0.09033980697700558,0.07004397858464392
opp_safety_prob,0.0,0.1522202342748642,0.002244441948046708,0.004915018028129167
opp_td_prob,0.0,0.4672923386096954,0.13085845729078419,0.10821676823567723
fg_prob,0.0,0.9976143903367972,0.24571023765953126,0.16422411962755354
safety_prob,0.0,0.020353581756353382,0.00242075039620984,0.0018019778546558077
td_prob,0.0,0.9126059412956238,0.2954507558096498,0.17605237986510353
extra_point_prob,0.0,0.9652461056398628,0.023481232087245285,0.14624549024538303
two_point_conversion_prob,0.0,0.4735,0.001105051735888806,0.022848011711078725
ep,-3.2278154555242513,6.514687105285701,1.8041810435039465,1.7061538099783558
epa,-12.249235788185615,8.356571825686842,5.600861520430048e-05,1.2512380363785265
total_home_epa,-49.807140171162594,45.21236133195487,1.2642611002272577,11.844274726708434
total_away_epa,-45.21236133195487,49.807140171162594,-1.2642611002272577,11.844274726708434
total_home_rush_epa,-21.225248820730485,25.587986340600768,-0.08459958304127023,5.092554309801714
total_away_rush_epa,-25.587986340600768,21.225248820730485,0.08459958304127023,5.092554309801714
total_home_pass_epa,-47.219489263679286,38.522435910122056,1.022452875732642,9.671415687698493
total_away_pass_epa,-38.522435910122056,47.219489263679286,-1.022452875732642,9.671415687698493
air_epa,-7.660667527001351,6.732156758313067,0.51657896507267,1.3167115496453268
yac_epa,-14.0,9.008860844187437,-0.3366336228671106,1.843707302475976
comp_air_epa,-7.660667527001351,6.613887990766671,0.06212985780309118,0.6077123207809965
comp_yac_epa,-9.039774060074707,9.008860844187437,0.16014350699071947,0.5637986580187014
total_home_comp_air_epa,-22.608572976838328,23.955496206588574,0.4150927727358909,5.907543856867236
total_away_comp_air_epa,-23.955496206588574,22.608572976838328,-0.4150927727358909,5.907543856867236
total_home_comp_yac_epa,-26.92967975596548,18.90427723637549,0.18692752825511666,5.899108097289696
total_away_comp_yac_epa,-18.90427723637549,26.92967975596548,-0.18692752825511666,5.899108097289696
total_home_raw_air_epa,-47.70768684300128,41.34987978918246,-0.027233185839659703,8.996803394671785
total_away_raw_air_epa,-41.34987978918246,47.70768684300128,0.027233185839659703,8.996803394671785
total_home_raw_yac_epa,-51.9707673432864,71.91754302256862,0.8645121684020797,11.942465993536905
total_away_raw_yac_epa,-71.91754302256862,51.9707673432864,-0.8645121684020797,11.942465993536905
wp,5.7768098486121744e-05,0.999946355819702,0.5040438182100834,0.29808842763379045
def_wp,5.364418029785156e-05,0.999942231901514,0.49595618178991663,0.29808842763379045
home_wp,0.0,1.0,0.5925921984293194,0.2850682589846087
away_wp,0.0,1.0,0.4073629705835021,0.28505369333729547
wpa,-0.9993398443912156,0.9996463060379028,0.0008248885908620994,0.05129345173204133
home_wp_post,0.0,1.0,0.592908939254967,0.28733944215072993
away_wp_post,0.0,1.0,0.40700088128791334,0.2873102670455324
vegas_wp,6.926058995304629e-05,0.9999019862443674,0.5034084055750044,0.3117760622585426
vegas_home_wp,0.0,1.0,0.5959603093399947,0.29822439578354554
total_home_rush_wpa,-1.9283111063123213,0.665768563747406,-0.002170617995615587,0.15164457523549169
total_away_rush_wpa,-0.665768563747406,1.9283111063123213,0.002170617995615587,0.15164457523549169
total_home_pass_wpa,-1.6827512956482942,1.6276474259793758,0.009625336154595038,0.25625665090352134
total_away_pass_wpa,-1.6276474259793758,1.6827512956482942,-0.009625336154595038,0.25625665090352134
air_wpa,-0.9738664627075196,0.8569354546489194,0.00908558566200333,0.048989190445765
yac_wpa,-0.8657757043838501,1.0,-0.0046404082361304584,0.06261371490793186
comp_air_wpa,-0.8101727962493896,0.8569354546489194,0.0015344006810404413,0.021747697736616424
comp_yac_wpa,-0.8569736033678055,0.803362563252449,0.004101769005305069,0.023087890438694355
total_home_comp_air_wpa,-0.9610257744789124,1.62356446380727,-0.003700418091194159,0.17178587086136748
total_away_comp_air_wpa,-1.62356446380727,0.9610257744789124,0.003700418091194159,0.17178587086136748
total_home_comp_yac_wpa,-2.2932107003871347,1.0642213858664036,0.010625346562554965,0.19503310984684263
total_away_comp_yac_wpa,-1.0642213858664036,2.2932107003871347,-0.010625346562554965,0.19503310984684263
total_home_raw_air_wpa,-2.3198914080858235,2.9634968946338636,-0.012865138424297673,0.25318699460117483
total_away_raw_air_wpa,-2.9634968946338636,2.3198914080858235,0.012865138424297673,0.25318699460117483
total_home_raw_yac_wpa,-3.3779345927760005,2.753045506775379,0.01901396826187268,0.33576931323753223
total_away_raw_yac_wpa,-2.753045506775379,3.3779345927760005,-0.01901396826187268,0.33576931323753223
punt_blocked,0.0,1.0,0.0001514758071496581,0.012306751791176525
first_down_rush,0.0,1.0,0.06838050722755994,0.2524004596239853
first_down_pass,0.0,1.0,0.1445079200207738,0.35160781605242264
first_down_penalty,0.0,1.0,0.021769237427508005,0.14593080057904922
third_down_converted,0.0,1.0,0.06043884705271358,0.23830069588889752
third_down_failed,0.0,1.0,0.09162122392452177,0.28849363297578573
fourth_down_converted,0.0,1.0,0.00558296546351597,0.07451118104208511
fourth_down_failed,0.0,1.0,0.005193456245131135,0.07187903769116681
incomplete_pass,0.0,1.0,0.14359906517787588,0.3506865194070927
touchback,0.0,1.0,0.03713418286209959,0.18909250063165706
interception,0.0,1.0,0.009434778845321562,0.09667453664003144
punt_inside_twenty,0.0,1.0,0.019432182117198996,0.13803979409504674
punt_in_endzone,0.0,1.0,2.163940102137973e-05,0.004651816959142362
punt_out_of_bounds,0.0,1.0,0.004890504630831819,0.06976168653071604
punt_downed,0.0,1.0,0.006643296113563577,0.0812361097993533
punt_fair_catch,0.0,1.0,0.014628235090452696,0.12006065863167804
kickoff_inside_twenty,0.0,1.0,0.007270838743183588,0.0849595777011775
kickoff_in_endzone,0.0,1.0,0.009975763870856054,0.09938038904513337
kickoff_out_of_bounds,0.0,1.0,0.0006275426296200121,0.02504321048282358
kickoff_downed,0.0,1.0,4.327880204275946e-05,0.006578591452209899
kickoff_fair_catch,0.0,1.0,2.163940102137973e-05,0.004651816959141842
fumble_forced,0.0,1.0,0.009521336449407081,0.0971127421109689
fumble_not_forced,0.0,1.0,0.004912144031853198,0.06991509600125448
fumble_out_of_bounds,0.0,1.0,0.001276724660261404,0.03570885362600422
solo_tackle,0.0,1.0,0.4709599238293084,0.49916136238070646
safety,0.0,1.0,0.0004544274214489743,0.021312689798553948
penalty,0.0,1.0,0.07671167662079113,0.2661362958667837
tackled_for_loss,0.0,1.0,0.02949450359214057,0.1691898261778716
fumble_lost,0.0,1.0,0.006318705098242881,0.07923960459312752
own_kickoff_recovery,0.0,1.0,0.0001514758071496581,0.01230675179117232
own_kickoff_recovery_td,0.0,1.0,2.163940102137973e-05,0.004651816959143745
qb_hit,0.0,1.0,0.061564095905825324,0.24036473997236346
rush_attempt,0.0,1.0,0.3005929195879858,0.45852084552270045
pass_attempt,0.0,1.0,0.4407945988055051,0.49648771846121015
sack,0.0,1.0,0.025361377997057042,0.15722186044341493
touchdown,0.0,1.0,0.02962433999826885,0.16955046609670107
pass_touchdown,0.0,1.0,0.017895784644681036,0.13257415234018607
rush_touchdown,0.0,1.0,0.009997403271877434,0.09948703121182177
return_touchdown,0.0,1.0,0.0011468882541331256,0.03384667918000233
extra_point_attempt,0.0,1.0,0.0270059724746819,0.16210249396182547
two_point_attempt,0.0,1.0,0.0024452523154159093,0.04938953170542183
field_goal_attempt,0.0,1.0,0.022721371072448714,0.14901540485711345
kickoff_attempt,0.0,1.0,0.05961654981390115,0.23677759603799706
punt_attempt,0.0,1.0,0.05256210508093136,0.22316004983276008
fumble,0.0,1.0,0.014411841080238899,0.11918241184270356
complete_pass,0.0,1.0,0.2605816670994547,0.4389567534694942
assist_tackle,0.0,1.0,0.12042326668397818,0.3254593609848079
lateral_reception,0.0,1.0,0.00017311520817103783,0.013156328699061685
lateral_rush,0.0,1.0,2.163940102137973e-05,0.004651816959142544
lateral_return,0.0,1.0,0.00010819700510689864,0.010401328743511906
lateral_recovery,0.0,1.0,0.0016445944776248592,0.04052067764624957
lateral_sack_player_id,,,,
lateral_sack_player_name,,,,
assist_tackle_3_player_id,,,,
assist_tackle_3_player_name,,,,
assist_tackle_3_team,,,,
assist_tackle_4_player_id,,,,
assist_tackle_4_player_name,,,,
assist_tackle_4_team,,,,
fumble_recovery_1_yards,-6.0,77.0,2.0793388429752064,8.638067578033802
fumble_recovery_2_yards,-2.0,27.0,5.0,12.328828005937952
return_yards,-7.0,104.0,0.8391976110101272,4.804381510683182
penalty_yards,0.0,66.0,8.6163610719323,5.448151131342801
replay_or_challenge,0.0,1.0,0.0075590160887255,0.08661427309826342
defensive_two_point_attempt,0.0,1.0,0.00021639401021379727,0.014708904295381868
defensive_two_point_conv,0.0,1.0,8.655760408551892e-05,0.009303331919254584
defensive_extra_point_attempt,0.0,0.0,0.0,0.0
defensive_extra_point_conv,0.0,0.0,0.0,0.0
season,2016.0,2016.0,2016.0,0.0
cp,0.1361486315727234,0.9296079277992249,0.6349990969736038,0.17188306864605268
cpoe,-90.58279395103456,80.14103323221207,0.5469486625970235,44.76069084557647
series,1.0,83.0,29.64644705414013,17.262663538777375
series_success,0.0,1.0,0.565575830694214,0.49568738749179
play_clock,0.0,39.0,8.49030339329602,6.592823893576571
play_deleted,0.0,0.0,0.0,0.0
drive_real_start_time,,,,
drive_play_count,0.0,20.0,7.322445982798405,3.5537625523244407
drive_first_downs,0.0,8.0,2.510174113698343,1.9142747636732227
drive_inside20,0.0,1.0,0.40046150618837845,0.4899970662159686
drive_ended_with_score,0.0,1.0,0.47572897000209774,0.499415807963167
drive_quarter_start,1.0,5.0,2.5299139920285296,1.1351150046158511
drive_quarter_end,1.0,5.0,2.64392699811202,1.1274860705694312
drive_yards_penalized,-40.0,66.0,0.19314033983637507,8.039335051614367
drive_play_id_started,35.0,5449.0,2038.980302076778,1235.8057578785065
drive_play_id_ended,55.0,5592.0,2244.523389972729,1240.159671025347
away_score,0.0,48.0,21.577748404551933,9.299528340521618
home_score,0.0,49.0,24.563724983993886,9.186991018216716
result,-38.0,38.0,2.985976579441955,12.729060715589224
total,12.0,89.0,46.14147338854582,13.406531093045258
spread_line,-11.5,17.0,2.298106115367934,4.91602860834786
total_line,38.0,59.5,45.69025589128235,3.9093387078041077
div_game,0.0,1.0,0.36252297651748283,0.48073364874337643
temp,1.0,91.0,59.24811146550277,18.227631346815063
wind,0.0,71.0,8.132421241116893,6.43313693619355
success,0.0,1.0,0.42333478450152373,0.4940928645397151
pass,0.0,1.0,0.45909663561824904,0.49832925219790714
rush,0.0,1.0,0.2718973956504678,0.44494189580345844
first_down,0.0,1.0,0.23221241236042586,0.42224834644341414
special,0.0,1.0,0.1527499535306388,0.35975002174589965
play,0.0,1.0,0.7508829178628225,0.4325062137328294
qb_epa,-12.249235788185615,8.356571825686842,0.005880663545115875,1.2418689535494143
