Field,Description,Use,Pass,Rec,Rush,Type,Tag,Binary,Numeric,String,ID,Prob,EPA,WPA,(Check)
total_away_raw_air_wpa,Cumulative total raw air WPA for the away team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_away_raw_yac_wpa,Cumulative total raw yac WPA for the away team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_away_rush_wpa,Cumulative total rushing WPA for the away team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_home_comp_air_wpa,Cumulative total completions air WPA for the home team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_home_comp_yac_wpa,Cumulative total completions yac WPA for the home team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_home_pass_wpa,Cumulative total passing WPA for the home team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_home_raw_air_wpa,Cumulative total raw air WPA for the home team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_home_raw_yac_wpa,Cumulative total raw yac WPA for the home team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_home_rush_wpa,Cumulative total rushing WPA for the home team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
wpa,Win probability added (WPA) for the posteam.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
yac_wpa,WPA from yards after the catch (same logic as yac_epa).,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
quarter_end,Binary indicator for whether or not the row of the data is marking the end of a quarter.,,,,,Binary,meta,1,0,0,0,0,0,0,1
away_timeouts_remaining,Numeric timeouts remaining in the half for the away team.,,,,,Numeric,meta,0,1,0,0,0,0,0,1
down,The down for the given play.,,,,,Numeric,meta,0,1,0,0,0,0,0,1
drive,Numeric drive number in the game.,,,,,Numeric,meta,0,1,0,0,0,0,0,1
game_seconds_remaining,Numeric seconds remaining in the game.,,,,,Numeric,meta,0,1,0,0,0,0,0,1
half_seconds_remaining,Numeric seconds remaining in the half.,,,,,Numeric,meta,0,1,0,0,0,0,0,1
home_timeouts_remaining,Numeric timeouts remaining in the half for the home team.,,,,,Numeric,meta,0,1,0,0,0,0,0,1
qtr,Quarter of the game (5 is overtime).,,,,,Numeric,meta,0,1,0,0,0,0,0,1
quarter_seconds_remaining,Numeric seconds remaining in the quarter.,,,,,Numeric,meta,0,1,0,0,0,0,0,1
away_team,String abbreviation for the away team.,,,,,String,meta,0,0,1,0,0,0,0,1
game_date,Date of the game.,,,,,String,meta,0,0,1,0,0,0,0,1
game_half,"String indicating which half the play is in, either Half1, Half2, or Overtime.",,,,,String,meta,0,0,1,0,0,0,0,1
home_team,String abbreviation for the home team.,,,,,String,meta,0,0,1,0,0,0,0,1
time,Time at start of play provided in string format as minutes:seconds remaining in the quarter.,,,,,String,meta,0,0,1,0,0,0,0,1
fumble_forced,Binary indicator for if the fumble was forced.,,,,,Binary,redundant,1,0,0,0,0,0,0,1
fumble_lost,Binary indicator for if the fumble was lost.,,,,,Binary,redundant,1,0,0,0,0,0,0,1
fumble_not_forced,Binary indicator for if the fumble was not forced.,,,,,Binary,redundant,1,0,0,0,0,0,0,1
fumble_out_of_bounds,Binary indicator for if the fumble went out of bounds.,,,,,Binary,redundant,1,0,0,0,0,0,0,1
defensive_extra_point_attempt,"Binary indicator whether or not the defense was able to have an attempt on an extra point attempt, this results following a blocked attempt that the defense recovers the ball.",,,,,Binary,st,1,0,0,0,0,0,0,1
defensive_extra_point_conv,Binary indicator whether or not the defense successfully scored on an extra point attempt.,,,,,Binary,st,1,0,0,0,0,0,0,1
defensive_two_point_attempt,"Binary indicator whether or not the defense was able to have an attempt on a two point conversion, this results following a turnover.",,,,,Binary,st,1,0,0,0,0,0,0,1
defensive_two_point_conv,Binary indicator whether or not the defense successfully scored on the two point conversion.,,,,,Binary,st,1,0,0,0,0,0,0,1
extra_point_attempt,Binary indicator for extra point attempt.,,,,,Binary,st,1,0,0,0,0,0,0,1
field_goal_attempt,Binary indicator for field goal attempt.,,,,,Binary,st,1,0,0,0,0,0,0,1
kickoff_attempt,Binary indicator for kickoff.,,,,,Binary,st,1,0,0,0,0,0,0,1
kickoff_downed,Binary indicator for if the kickoff was downed.,,,,,Binary,st,1,0,0,0,0,0,0,1
kickoff_fair_catch,Binary indicator for if the kickoff was caught with a fair catch.,,,,,Binary,st,1,0,0,0,0,0,0,1
kickoff_in_endzone,Binary indicator for if the kickoff was in the endzone.,,,,,Binary,st,1,0,0,0,0,0,0,1
kickoff_inside_twenty,Binary indicator for if the kickoff ended inside the twenty yard line.,,,,,Binary,st,1,0,0,0,0,0,0,1
kickoff_out_of_bounds,Binary indicator for if the kickoff went out of bounds.,,,,,Binary,st,1,0,0,0,0,0,0,1
own_kickoff_recovery,Binary indicator for if the kicking team recovered the kickoff.,,,,,Binary,st,1,0,0,0,0,0,0,1
own_kickoff_recovery_td,Binary indicator for if the kicking team recovered the kickoff and scored a TD.,,,,,Binary,st,1,0,0,0,0,0,0,1
punt_attempt,Binary indicator for punts.,,,,,Binary,st,1,0,0,0,0,0,0,1
punt_blocked,Binary indicator for if the punt was blocked.,,,,,Binary,st,1,0,0,0,0,0,0,1
punt_downed,Binary indicator for if the punt was downed.,,,,,Binary,st,1,0,0,0,0,0,0,1
punt_fair_catch,Binary indicator for if the punt was caught with a fair catch.,,,,,Binary,st,1,0,0,0,0,0,0,1
punt_in_endzone,Binary indicator for if the punt was in the endzone.,,,,,Binary,st,1,0,0,0,0,0,0,1
punt_inside_twenty,Binary indicator for if the punt ended inside the twenty yard line.,,,,,Binary,st,1,0,0,0,0,0,0,1
punt_out_of_bounds,Binary indicator for if the punt went out of bounds.,,,,,Binary,st,1,0,0,0,0,0,0,1
return_touchdown,Binary indicator for if the play resulted in a return TD.,,,,,Binary,st,1,0,0,0,0,0,0,1
two_point_attempt,Binary indicator for two point conversion attempt.,,,,,Binary,st,1,0,0,0,0,0,0,1
blocked_player_id,Unique identifier for the player that blocked the punt or FG.,,,,,ID,st,0,0,0,1,0,0,0,1
kicker_player_id,Unique identifier for the kicker on FG or kickoff.,,,,,ID,st,0,0,0,1,0,0,0,1
kickoff_returner_player_id,Unique identifier for the kickoff returner.,,,,,ID,st,0,0,0,1,0,0,0,1
lateral_punt_returner_player_id,Unique identifier for the player that received the lateral on a punt return.,,,,,ID,st,0,0,0,1,0,0,0,1
own_kickoff_recovery_player_id,Unique identifier for the player that recovered their own kickoff.,,,,,ID,st,0,0,0,1,0,0,0,1
punt_returner_player_id,Unique identifier for the punt returner.,,,,,ID,st,0,0,0,1,0,0,0,1
punter_player_id,Unique identifier for the punter.,,,,,ID,st,0,0,0,1,0,0,0,1
kick_distance,"Numeric distance in yards for kickoffs, field goals, and punts.",,,,,Numeric,st,0,1,0,0,0,0,0,1
return_yards,Yards gained by the return team.,,,,,Numeric,st,0,1,0,0,0,0,0,1
extra_point_result,"String indicator for the result of the extra point attempt: good, failed, blocked, safety (touchback in defensive endzone is 1 point apparently), or aborted.",,,,,String,st,0,0,1,0,0,0,0,1
field_goal_result,"String indicator for result of field goal attempt: made, missed, or blocked.",,,,,String,st,0,0,1,0,0,0,0,1
two_point_conv_result,"String indicator for result of two point conversion attempt: success, failure, safety (touchback in defensive endzone is 1 point apparently), or return.",,,,,String,st,0,0,1,0,0,0,0,1
goal_to_go,Binary indicator for whether or not the posteam is in a goal down situation.,,,,,Binary,team,1,0,0,0,0,0,0,1
penalty,Binary indicator for whether or not a penalty occurred.,,,,,Binary,team,1,0,0,0,0,0,0,1
replay_or_challenge,Binary indicator for whether or not a replay or challenge.,,,,,Binary,team,1,0,0,0,0,0,0,1
sp,Binary indicator for whether or not a score occurred on the play.,,,,,Binary,team,1,0,0,0,0,0,0,1
timeout,Binary indicator for whether or not a timeout was called.,,,,,Binary,team,1,0,0,0,0,0,0,1
touchback,Binary indicator for if a touchback occurred on the play.,,,,,Binary,team,1,0,0,0,0,0,0,1
penalty_player_id,Unique identifier for the player with the penalty.,,,,,ID,team,0,0,0,1,0,0,0,1
defteam_score,Score the defteam at the start of the play.,,,,,Numeric,team,0,1,0,0,0,0,0,1
defteam_score_post,Score for the defteam at the end of the play.,,,,,Numeric,team,0,1,0,0,0,0,0,1
defteam_timeouts_remaining,Number of timeouts remaining for the team on defense.,,,,,Numeric,team,0,1,0,0,0,0,0,1
penalty_yards,Yards gained (or lost) by the posteam from the penalty.,,,,,Numeric,team,0,1,0,0,0,0,0,1
posteam_score,Score the posteam at the start of the play.,,,,,Numeric,team,0,1,0,0,0,0,0,1
posteam_score_post,Score for the posteam at the end of the play.,,,,,Numeric,team,0,1,0,0,0,0,0,1
posteam_timeouts_remaining,Number of timeouts remaining for the possession team.,,,,,Numeric,team,0,1,0,0,0,0,0,1
score_differential,Score differential between the posteam and defteam at the start of the play.,,,,,Numeric,team,0,1,0,0,0,0,0,1
score_differential_post,Score differential between the posteam and defteam at the end of the play.,,,,,Numeric,team,0,1,0,0,0,0,0,1
total_away_score,Score for the away team at the start of the play.,,,,,Numeric,team,0,1,0,0,0,0,0,1
total_home_score,Score for the home team at the start of the play.,,,,,Numeric,team,0,1,0,0,0,0,0,1
yardline_100,Numeric distance in the number of yards from the opponent's endzone for the posteam.,,,,,Numeric,team,0,1,0,0,0,0,0,1
ydsnet,Numeric value for total yards gained on the given drive.,,,,,Numeric,team,0,1,0,0,0,0,0,1
ydstogo,Numeric yards in distance from either the first down marker or the endzone in goal down situations.,,,,,Numeric,team,0,1,0,0,0,0,0,1
assist_tackle_1_team,Team of one of the players with a tackle assist.,,,,,String,team,0,0,1,0,0,0,0,1
assist_tackle_2_team,Team of one of the players with a tackle assist.,,,,,String,team,0,0,1,0,0,0,0,1
assist_tackle_3_team,Team of one of the players with a tackle assist.,,,,,String,team,0,0,1,0,0,0,0,1
assist_tackle_4_team,Team of one of the players with a tackle assist.,,,,,String,team,0,0,1,0,0,0,0,1
defteam,String abbreviation for the team on defense.,1,1,1,1,String,team,0,0,1,0,0,0,0,1
forced_fumble_player_1_team,Team of one of the players with a forced fumble.,,,,,String,team,0,0,1,0,0,0,0,1
forced_fumble_player_2_team,Team of one of the players with a forced fumble.,,,,,String,team,0,0,1,0,0,0,0,1
fumble_recovery_1_team,Team of one of the players with a fumble recovery.,,,,,String,team,0,0,1,0,0,0,0,1
fumble_recovery_2_team,Team of one of the players with a fumble recovery.,,,,,String,team,0,0,1,0,0,0,0,1
fumbled_1_team,Team of one of the players with a fumble.,,,,,String,team,0,0,1,0,0,0,0,1
fumbled_2_team,Team of one of the players with a fumble.,,,,,String,team,0,0,1,0,0,0,0,1
penalty_team,String abbreviation of the team with the penalty.,,,,,String,team,0,0,1,0,0,0,0,1
penalty_type,String indicating the penalty type.,,,,,String,team,0,0,1,0,0,0,0,1
posteam,String abbreviation for the team with possession.,1,1,1,1,String,team,0,0,1,0,0,0,0,1
replay_or_challenge_result,String indicating the result of the replay or challenge.,,,,,String,team,0,0,1,0,0,0,0,1
return_team,String abbreviation of the return team.,,,,,String,team,0,0,1,0,0,0,0,1
solo_tackle_1_team,Team of one of the players with a solo tackle.,,,,,String,team,0,0,1,0,0,0,0,1
solo_tackle_2_team,Team of one of the players with a solo tackle.,,,,,String,team,0,0,1,0,0,0,0,1
td_team,String abbreviation for which team scored the touchdown.,,,,,String,team,0,0,1,0,0,0,0,1
timeout_team,String abbreviation for which team called the timeout.,,,,,String,team,0,0,1,0,0,0,0,1
yrdln,String indicating the current field position for a given play.,,,,,String,team,0,0,1,0,0,0,0,1
first_down_pass,Binary indicator for if a passing play converted the first down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
first_down_penalty,Binary indicator for if a penalty converted the first down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
first_down_rush,Binary indicator for if a running play converted the first down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
fourth_down_converted,Binary indicator for if the first down was converted on fourth down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
fourth_down_failed,Binary indicator for if the posteam failed to convert first down on fourth down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
lateral_reception,Binary indicator for if a lateral occurred on the reception.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
lateral_recovery,Binary indicator for if a lateral occurred on a fumble recovery.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
lateral_return,Binary indicator for if a lateral occurred on a return.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
lateral_rush,Binary indicator for if a lateral occurred on a run.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
qb_kneel,Binary indicator for whether or not the QB took a knee.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
qb_spike,Binary indicator for whether or not the QB spiked the ball.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
third_down_converted,Binary indicator for if the first down was converted on third down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
third_down_failed,Binary indicator for if the posteam failed to convert first down on third down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
lateral_interception_player_id,Unique indentifier for the player that received the lateral on an interception.,,,,,ID,uninteresting,0,0,0,1,0,0,0,1
lateral_kickoff_returner_player_id,Unique identifier for the player that received the lateral on a kickoff return.,,,,,ID,uninteresting,0,0,0,1,0,0,0,1
lateral_receiver_player_id,Unique identifier for the player that received the lateral on a reception.,,,,,ID,uninteresting,0,0,0,1,0,0,0,1
lateral_rusher_player_id,Unique identifier for the player that received the lateral on a run.,,,,,ID,uninteresting,0,0,0,1,0,0,0,1
lateral_sack_player_id,Unique identifier for the player that received the lateral on a sack.,,,,,ID,uninteresting,0,0,0,1,0,0,0,1
fumble_recovery_1_yards,Yards gained by one of the players with a fumble recovery.,,,,,Numeric,uninteresting,0,1,0,0,0,0,0,1
fumble_recovery_2_yards,Yards gained by one of the players with a fumble recovery.,,,,,Numeric,uninteresting,0,1,0,0,0,0,0,1
pass_length,String indicator for pass length: short or deep.,,,,,String,uninteresting,0,0,1,0,0,0,0,1
pass_location,"String indicator for pass location: left, middle, or right.",,,,,String,uninteresting,0,0,1,0,0,0,0,1
penalty_player_name,String name for the player with the penalty.,,,,,String,uninteresting,0,0,1,0,0,0,0,1
run_gap,"String indicator for line gap of run: end, guard, or tackle",,,,,String,uninteresting,0,0,1,0,0,0,0,1
run_location,"String indicator for location of run: left, middle, or right.",,,,,String,uninteresting,0,0,1,0,0,0,0,1
side_of_field,String abbreviation for which team's side of the field the team with possession is currently on.,,,,,String,uninteresting,0,0,1,0,0,0,0,1
